タイトル,リスクスコア,要約,本文
神戸・冷凍庫遺体、男性殺害疑いで元妻再逮捕　2011年12月ごろに死亡か,71,兵庫県警生田署捜査本部は10日、神戸市中央区のマンション一室で男性の切断遺体が見つかった事件で、死体遺棄・損壊罪で起訴済みの元妻（50）を殺人容疑で再逮捕した。男性は2011年12月ごろに死亡したと推定され、被告は調べに対して殺害をほのめかす供述をしている。,神戸市中央区中山手通６のマンション一室で、冷凍庫から元住人男性の遺体が見つかった事件で、死体遺棄・損壊の罪で起訴されている望月亜紀被告（５０）＝同区＝について、兵庫県警生田署捜査本部は１０日、男性の殺害に関与した疑いが強まったとして殺人容疑で再逮捕した。捜査本部によると、男性は職業不詳の西口豊さん（１９６９年１月生まれ）。今年６月２０日に異臭がするとの通報で駆けつけた警察官が発見した。司法解剖の結果、４２歳だった２０１１年１２月ごろに死亡したと推定される。望月被告は県警の調べに殺害についてもほのめかす供述をしていたという。戸籍上、西口さんとは１２年１２月に離婚している。遺体が見つかった３階の一室は賃貸物件で、被告名義で契約されていた。起訴状によると、望月被告は同年１２月ごろ、マンションの一室で、西口さんの遺体を腹部付近で切断し、上半身と下半身をそれぞれ土のう袋などに詰めて冷凍庫に入れ、今年６月２０日までの間、部屋の家賃や電気料金を支払い続けるなどして遺体を隠したとされる。
「妻が家の片付けをせずイライラ」　自宅放火未遂で63歳男逮捕　容疑を否認　姫路　,43.5,兵庫県姫路市の自宅で9日夜、妻へのいら立ちからゴミなどに着火して投げ捨て放火しようとしたとして、63歳の男が現住建造物等放火未遂の疑いで緊急逮捕された。火は男がバケツの水で消火しており、調べに対し男は「建物に火をつける意図はなかった」と容疑を否認している。,自宅に放火しようとしたとして、兵庫県警網干署は１０日、現住建造物等放火未遂の疑いで、同県姫路市の無職の男（６３）を緊急逮捕した。調べに対し、男は「妻が家の片付けをせず、イライラした。建物に火を付ける意図はなかった」と容疑を否認している。逮捕容疑は９日午後７時ごろ、買い物かごに入れた布やごみにライターで火を付け、自宅を焼損しようとした疑い。同署によると、男はかごごと自宅内から玄関前に放り投げた後、炎が上がったことに慌て、バケツの水で消火した。直前に、近くの住民が「火を付けるぞ」という男の声や男女が言い争う声を聞いていた。１１０番を受けて駆けつけた署員が男を逮捕した。
女子高校生4人が花火、雑草150平方メートル焼く　けが人なし　姫路の市川河川敷,23,9日午後11時50分ごろ、姫路市飾磨区阿成下垣内の市川河川敷で、手持ち花火をしていた女子高校生4人の火の不始末により雑草約150平方メートルを焼く火災が発生した。けが人はおらず、消防通報等により対応がなされた。,９日午後１１時５０分ごろ、兵庫県姫路市飾磨区阿成下垣内の市川河川敷から出火、雑草約１５０平方メートルを焼いた。県警飾磨署によると、１６～１７歳の女子高校生４人が手持ち花火をしていて草に火が付き、水をかけて消そうとしたが燃え広がったため１１０番したという。けが人はなかった。
山陽電鉄網干線が運転見合わせ　踏切で普通電車と車が接触,36.5,9日午後10時55分ごろ、姫路市の山陽電鉄網干線夢前川―広畑間の踏切で普通電車と乗用車が接触した。車に乗っていた女性1人が軽傷とみられる。この事故の影響で、同線は飾磨―山陽網干間の全線で運転を見合わせている。,９日午後１０時５５分ごろ、兵庫県姫路市の山陽電鉄網干線夢前川－広畑間の踏切で普通電車と車が接触した。同社によると、同線は午後１１時半現在、全線（飾磨－山陽網干間）で運転を見合わせている。ＪＲ神戸線の明石－網干間で振り替え輸送を実施している。県警網干署によると、車には運転手の女性１人が乗っていた。軽傷とみられる。
通りがかりの高齢男性に「殺すぞ」　脅迫容疑で56歳の女逮捕　神戸・中央,24,8月9日午前11時頃、神戸市中央区の歩道で、面識のない男性（81）に「殺すぞ」と脅したとして、兵庫県警葺合署は整体師の女（56）を脅迫容疑で現行犯逮捕した。直前に言いがかりをつけて駆けつけた署員の前での事案であり、女は調べに対し「言ってはいけない言葉とは分からなかった」と供述している。,兵庫県警葺合署は９日、脅迫の疑いで、神戸市中央区に住む整体師の女（５６）を現行犯逮捕した。署の調べに対し、女は「言ってはいけない言葉とは分からなかった」と話しているという。逮捕容疑は、９日午前１１時過ぎ、神戸市中央区の歩道で、通りがかった男性（８１）を「殺すぞ」と脅した疑い。署によると、女は男性と面識がなかった。調べでは、この直前に「ゴミを捨てただろう」などと男性に言いがかりを付けたとされ、１１０番で駆け付けた署員が状況を確認していたという。
明石の民家駐車場で90代女性が死亡　左腕が軽乗用車の下敷きに,48.5,８日午後１０時半ごろ、兵庫県明石市の民家駐車場で、住民の女性（９９）が倒れているのを孫の女性が見つけた。女性は軽乗用車の下敷きになっており搬送先の病院で死亡が確認された。警察は車をバックで停めた孫に衝突の認識がないことなどから、事故原因を調査している。,８日午後１０時半ごろ、兵庫県明石市の民家駐車場で、住民の女性（９９）が倒れているのを、孫の女性（４８）が見つけた。祖母は左腕が軽乗用車の下敷きになっており、出血。意識がなく、搬送先の病院で死亡が確認された。県警明石署によると、孫は発見直前、軽乗用車を後ろ向きに止めていた。「（衝突した）認識はない」と話しているといい、同署が事故原因を調べている。
西宮で不審火　遊歩道のベンチ燃える,35,８日午後１０時前、兵庫県西宮市枝川町の遊歩道で、通行人の女性がベンチから火が出ているのを発見し119番した。木製ベンチの座面の一部が燃えており、県警甲子園署が出火原因を調べている。,８日午後１０時前、兵庫県西宮市枝川町の遊歩道で、通行人の女性（３２）がベンチから火が出ているのを見つけ、１１９番した。座面の一部が燃えた。県警甲子園署によると、ベンチは背もたれがない木製で幅約２メートル、奥行き約４０センチ、高さ約４０センチ。土台は石でできているという。同署が出火原因を調べている。
神戸市北区で枯れ草を燃やした火が拡大　男性が手と顔にやけど,21.5,8日午後3時45分ごろ、神戸市北区八多町で84歳男性が所有する山の木や草を燃やしていたところ風にあおられて拡大し、約300平方メートルを焼く火災が発生した。男性は手と顔にやけどを負い、警察が経緯を確認した。,８日午後３時４５分ごろ、神戸市北区八多町の男性（８４）が「枯れ草の焼却火が拡大して消せない」と１１９番した。のり面を含む約３００平方メートルを焼き、男性は手と顔にやけどを負った。兵庫県警有馬署によると、男性が所有する山の木や草を刈って燃やしたところ、風にあおられて燃え広がったという。
エンジンかかったままのトラック盗んだ疑い、神戸の43歳男を逮捕　直後に物損事故起こす,22.5,兵庫県警灘署は8日、神戸市中央区の市道でエンジンがかかったまま停められていたトラック1台を盗んだとして、窃盗の疑いで神戸市灘区の男（43）を逮捕した。男は容疑を認めており、直後に灘区内で物損事故を起こしていた。,兵庫県警灘署は８日、窃盗の疑いで、神戸市灘区の塗装業の男（４３）を逮捕した。署の調べに容疑を認めているという。逮捕容疑は５日午前０時４０分ごろ、神戸市中央区の市道で、男性会社員（５８）が運転するトラック１台を盗んだ疑い。同署によると、男性はコンビニエンスストアに買い物に行くため、エンジンをかけたままトラックを離れていたという。男は直後に神戸市灘区内で物損事故を起こしていた。
豊岡で民家火災、2棟に延焼　住人の男性が軽いやけど,26,2026年8月7日夕、兵庫県豊岡市祥雲寺の民家で火災が発生し、木造住宅2棟が全焼、1棟が半焼した。住人の85歳男性が顔に軽いやけどを負い、火は約2時間半後に消し止められた。,７日午後５時１０分ごろ、兵庫県豊岡市祥雲寺の民家から火が出ているのを通りがかったパートの男性（７１）が見つけ、１１９番した。県警豊岡署などによると、木造住宅１棟が全焼し、住人の無職男性（８５）が顔に軽いやけどを負った。延焼した木造住宅１棟も全焼、別の木造住宅１棟は半焼した。火は約２時間半後に消し止められた。
